team,attack,defense,power
Bayern Munich,0.8305,-0.4525,1.283
Dortmund,0.4257,-0.3472,0.773
Leverkusen,0.2931,-0.3715,0.6645
Stuttgart,0.2872,-0.1697,0.4569
RB Leipzig,0.2128,-0.2324,0.4452
Hoffenheim,0.2809,-0.1322,0.4131
Ein Frankfurt,0.2743,-0.0088,0.283
Freiburg,-0.0175,-0.1007,0.0833
Mainz,-0.0885,-0.1711,0.0827
Hamburg,-0.0839,-0.1004,0.0165
M'gladbach,-0.0561,-0.0153,-0.0408
Wolfsburg,-0.0103,0.0903,-0.1007
Union Berlin,-0.2282,-0.1243,-0.104
Werder Bremen,-0.1538,-0.0352,-0.1187
Augsburg,-0.2296,-0.0968,-0.1328
FC Koln,-0.1978,-0.0275,-0.1704
Holstein Kiel,0.0117,0.1842,-0.1725
St Pauli,-0.3331,-0.1406,-0.1925
Bochum,-0.2863,0.1044,-0.3908
Heidenheim,-0.2652,0.1439,-0.4091
Hertha,-0.2305,0.2186,-0.4491
Bielefeld,-0.5002,-0.0488,-0.4515
Greuther Furth,-0.2989,0.2242,-0.5231
Schalke 04,-0.3424,0.2541,-0.5966
Darmstadt,-0.3202,0.3287,-0.6489
