date,season,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_target,away_shots_target
2020-09-18,2021,Bayern Munich,Schalke 04,8,0,H,22.0,5.0,12.0,1.0
2020-09-19,2021,Ein Frankfurt,Bielefeld,1,1,D,18.0,14.0,6.0,4.0
2020-09-19,2021,FC Koln,Hoffenheim,2,3,A,13.0,13.0,6.0,7.0
2020-09-19,2021,Stuttgart,Freiburg,2,3,A,22.0,7.0,7.0,6.0
2020-09-19,2021,Union Berlin,Augsburg,1,3,A,13.0,9.0,3.0,5.0
2020-09-19,2021,Werder Bremen,Hertha,1,4,A,17.0,13.0,7.0,6.0
2020-09-19,2021,Dortmund,M'gladbach,3,0,H,9.0,8.0,4.0,2.0
2020-09-20,2021,RB Leipzig,Mainz,3,1,H,23.0,8.0,10.0,1.0
2020-09-20,2021,Wolfsburg,Leverkusen,0,0,D,9.0,6.0,1.0,2.0
2020-09-25,2021,Hertha,Ein Frankfurt,1,3,A,12.0,10.0,6.0,3.0
2020-09-26,2021,Schalke 04,Werder Bremen,1,3,A,17.0,17.0,4.0,8.0
2020-09-26,2021,Mainz,Stuttgart,1,4,A,11.0,15.0,3.0,7.0
2020-09-26,2021,M'gladbach,Union Berlin,1,1,D,14.0,15.0,5.0,2.0
2020-09-26,2021,Bielefeld,FC Koln,1,0,H,7.0,12.0,3.0,2.0
2020-09-26,2021,Augsburg,Dortmund,2,0,H,6.0,16.0,4.0,7.0
2020-09-26,2021,Leverkusen,RB Leipzig,1,1,D,11.0,7.0,4.0,2.0
2020-09-27,2021,Hoffenheim,Bayern Munich,4,1,H,17.0,14.0,8.0,2.0
2020-09-27,2021,Freiburg,Wolfsburg,1,1,D,21.0,8.0,7.0,2.0
2020-10-02,2021,Union Berlin,Mainz,4,0,H,13.0,5.0,7.0,0.0
2020-10-03,2021,RB Leipzig,Schalke 04,4,0,H,21.0,4.0,7.0,1.0
2020-10-03,2021,Werder Bremen,Bielefeld,1,0,H,7.0,10.0,2.0,5.0
2020-10-03,2021,Stuttgart,Leverkusen,1,1,D,11.0,15.0,2.0,7.0
2020-10-03,2021,FC Koln,M'gladbach,1,3,A,8.0,17.0,3.0,11.0
2020-10-03,2021,Dortmund,Freiburg,4,0,H,16.0,6.0,7.0,2.0
2020-10-03,2021,Ein Frankfurt,Hoffenheim,2,1,H,16.0,11.0,6.0,4.0
2020-10-04,2021,Wolfsburg,Augsburg,0,0,D,17.0,9.0,6.0,1.0
