date,season,match_id,home_team,away_team,home_goals,away_goals,result,home_atk_pre,home_def_pre,away_atk_pre,away_def_pre,home_atk_post,home_def_post,away_atk_post,away_def_post,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post
2020-09-18,2021,0,Bayern Munich,Schalke 04,8,0,H,0.0,0.0,0.0,0.0,0.1232,-0.0278,-0.0278,0.1232,1500.0,1500.0,1534.28,1465.72
2020-09-19,2021,1,Ein Frankfurt,Bielefeld,1,1,D,0.0,0.0,0.0,0.0,-0.0168,-0.0078,-0.0078,-0.0168,1500.0,1500.0,1498.09,1501.91
2020-09-19,2021,2,FC Koln,Hoffenheim,2,3,A,0.0,0.0,0.0,0.0,0.0032,0.0322,0.0322,0.0032,1500.0,1500.0,1477.14,1522.86
2020-09-19,2021,3,Stuttgart,Freiburg,2,3,A,0.0,0.0,0.0,0.0,0.0032,0.0322,0.0322,0.0032,1500.0,1500.0,1477.14,1522.86
2020-09-19,2021,4,Union Berlin,Augsburg,1,3,A,0.0,0.0,0.0,0.0,-0.0168,0.0322,0.0322,-0.0168,1500.0,1500.0,1469.52,1530.48
2020-09-19,2021,5,Werder Bremen,Hertha,1,4,A,0.0,0.0,0.0,0.0,-0.0168,0.0522,0.0522,-0.0168,1500.0,1500.0,1461.9,1538.1
2020-09-19,2021,6,Dortmund,M'gladbach,3,0,H,0.0,0.0,0.0,0.0,0.0232,-0.0278,-0.0278,0.0232,1500.0,1500.0,1528.57,1471.43
2020-09-20,2021,7,RB Leipzig,Mainz,3,1,H,0.0,0.0,0.0,0.0,0.0232,-0.0078,-0.0078,0.0232,1500.0,1500.0,1522.86,1477.14
2020-09-20,2021,8,Wolfsburg,Leverkusen,0,0,D,0.0,0.0,0.0,0.0,-0.0368,-0.0278,-0.0278,-0.0368,1500.0,1500.0,1498.09,1501.91
2020-09-25,2021,9,Hertha,Ein Frankfurt,1,3,A,0.0522,-0.0168,-0.0168,-0.0078,0.0337,0.0163,0.0163,-0.0263,1538.1,1498.09,1504.67,1531.52
2020-09-26,2021,10,Leverkusen,RB Leipzig,1,1,D,-0.0278,-0.0368,0.0232,-0.0078,-0.0433,-0.0442,0.0158,-0.0233,1501.91,1522.86,1500.79,1523.97
2020-09-26,2021,11,Bielefeld,FC Koln,1,0,H,-0.0078,-0.0168,0.0032,0.0322,-0.0255,-0.0442,-0.0242,0.0145,1501.91,1477.14,1517.67,1461.38
2020-09-26,2021,12,Augsburg,Dortmund,2,0,H,0.0322,-0.0168,0.0232,-0.0278,0.0352,-0.0448,-0.0048,-0.0248,1530.48,1528.57,1553.19,1505.86
2020-09-26,2021,13,Mainz,Stuttgart,1,4,A,-0.0078,0.0232,0.0032,0.0322,-0.0255,0.0747,0.0547,0.0145,1477.14,1477.14,1439.05,1515.24
2020-09-26,2021,14,Schalke 04,Werder Bremen,1,3,A,-0.0278,0.1232,-0.0168,0.0522,-0.0455,0.1523,0.0123,0.0345,1465.72,1461.9,1434.95,1492.67
2020-09-26,2021,15,M'gladbach,Union Berlin,1,1,D,-0.0278,0.0232,-0.0168,0.0322,-0.0448,0.0152,-0.0248,0.0152,1471.43,1469.52,1469.45,1471.5
2020-09-27,2021,16,Hoffenheim,Bayern Munich,4,1,H,0.0322,0.0032,0.1232,-0.0278,0.0752,-0.0083,0.1117,0.0152,1522.86,1534.28,1552.51,1504.64
2020-09-27,2021,17,Freiburg,Wolfsburg,1,1,D,0.0322,0.0032,-0.0368,-0.0278,0.0152,-0.0037,-0.0437,-0.0448,1522.86,1498.09,1520.03,1500.92
2020-10-02,2021,18,Union Berlin,Mainz,4,0,H,-0.0248,0.0152,-0.0255,0.0747,0.0166,-0.0123,-0.053,0.116,1471.5,1439.05,1502.18,1408.37
2020-10-03,2021,19,Ein Frankfurt,Hoffenheim,2,1,H,0.0163,-0.0263,0.0752,-0.0083,0.0192,-0.0355,0.066,-0.0054,1531.52,1552.51,1549.85,1534.17
2020-10-03,2021,20,Dortmund,Freiburg,4,0,H,-0.0048,-0.0248,0.0152,-0.0037,0.0387,-0.0523,-0.0123,0.0398,1505.86,1520.03,1541.75,1484.14
